Occurrence_Category,Occurrence_Group,Occurrence_Type_Group,Intersection,OBJECTID,Date Reported,x,y
Non-Violent,Property,Theft Over $5000,141 ST/161 AV,15677,2025/03/04,-12641925.7076,7098849.6479
Non-Violent,Property,Theft Under $5000,137 AV/50 ST,15678,2025/03/04,-12625108.1321,7094280.4437
Weapons,Explosives/Dangerous Goods,Dangerous Condition,54 AV/ALLARD WY,15679,2025/03/04,-12634498.5763,7074404.5777
Non-Violent,Property,Internet Fraud,102 ST/129 AV,15680,2025/03/03,-12634261.5397,7092390.5394
Non-Violent,Property,Theft Under $5000,111 ST/111 ST,15681,2025/03/04,-12636597.136,7073730.6847
Disorder,General Disorder,Trouble with Person,100A ST/JASPER AV,15682,2025/03/04,-12633872.5256,7083710.6323
Non-Violent,Property,Theft Under $5000,AIRPORT RD/KINGSWAY ,15683,2025/03/04,-12636950.3814,7088310.2447
Non-Violent,Property,Theft Under $5000,172 ST/86 AV,15684,2025/03/04,-12647976.0251,7079513.8379
Disorder,Mischief/Graffiti,Mischief - Property,99 ST/JASPER AV,15685,2025/03/04,-12633491.2454,7083751.7926
Non-Violent,Property,Theft of Motor Vehicle,136 AV/90A ST,15686,2025/03/04,-12632636.0555,7094470.1776
Disorder,General Disorder,Trouble with Person,36 AV/RICHFIELD RD,15687,2025/03/04,-12629954.4662,7070187.8095
Non-Violent,Property,Break and Enter Residential,104 ST/85 AV,15688,2025/03/04,-12634491.0364,7079900.6543
Non-Violent,Property,Theft Under $5000,111 ST/111 ST,15689,2025/03/04,-12636597.136,7073730.6847
Non-Violent,Property,Theft Under $5000,102 AV/99 ST,15690,2025/03/19,-12633534.5223,7084164.91920001
Non-Violent,Property,Break and Enter Residential,25 AV/25 AV,15691,2025/03/19,-12619894.539,7068016.7744
Disorder,General Disorder,Suspicious Person,168 ST/99 AV,15692,2025/03/19,-12647178.0897,7083053.899
Disorder,Disputes/Disturbances,Dispute,KLINE CR/KLINE CR,15693,2025/03/17,-12623116.5565,7073335.6008
Non-Violent,Abandoned/Recovered/Seized Vehicles,Recovered Motor Vehicle,106A AV/95 ST,15694,2025/03/19,-12632829.545,7085794.722
Non-Violent,Property,Break and Enter Commercial,158 AV/STIRLING RD,15695,2025/03/19,-12634794.1809,7098394.3649
Violent,Personal Violence,Assault,CARDINAL RD SW/CARDINAL RD SW,15696,2025/03/18,-12643301.649,7056973.7315
Non-Violent,Property,Theft Over $5000,115 ST/25 AV,15697,2025/03/19,-12637976.8596,7067844.3406
Non-Violent,Property,Theft Under $5000,137 AV/42 ST,15698,2025/03/19,-12624378.4956,7094314.4636
Violent,Personal Violence,Assault,109 ST/113 AV,15699,2025/03/19,-12635688.2412,7087752.557
Non-Violent,Property,Fraud General,82 AV/83 ST,15700,2025/03/18,-12629753.91,7079441.5838
Non-Violent,Property,Break and Enter Residential,107 ST/82 AV,15701,2025/03/19,-12635464.7359,7079411.5912
Non-Violent,Property,Theft of Motor Vehicle,136 AV/FORT RD,15702,2025/03/19,-12626209.5411,7094361.4279
Disorder,Mischief/Graffiti,Mischief - Property,111A AV/114 ST,15703,2025/03/19,-12636693.2888,7087243.7899
Non-Violent,Property,Theft Under $5000,AIRPORT RD/KINGSWAY ,15704,2025/03/19,-12636950.3814,7088310.2447
Non-Violent,Property,Theft Under $5000,137 AV/50 ST,15705,2025/03/19,-12625108.1321,7094280.4437
Disorder,General Disorder,Trouble with Person,118 AV/97 ST,15706,2025/03/19,-12633816.608,7089208.9313
Disorder,Disputes/Disturbances,Dispute,128 AV/87 ST,15707,2025/03/18,-12631914.4594,7092144.0876
Non-Violent,Counterfeiting/Gaming and Betting,Counterfeit Money,WHITELAW BA/WHITELAW BA,15708,2025/03/18,-12646967.6174,7065003.5259
Disorder,General Disorder,Suspicious Vehicle,ARGYLL RD/ARGYLL RD,15709,2025/03/07,-12627850.9297,7077990.4476
Non-Violent,Property,Fraud General,112 ST/JASPER AV,15710,2025/03/07,-12636313.7149,7083690.613
Disorder,Mischief/Graffiti,Mischief - Property,134A AV/56 ST,15711,2025/03/06,-12626753.9423,7093980.4009
Non-Violent,Property,Theft Under $5000,114 AV/WEST POINT WN,15712,2025/03/07,-12642480.774,7087801.71239999
Non-Violent,Property,Theft Under $5000,114 ST/NOT NAMED RD,15713,2025/03/07,-12637601.2875,7079919.9769
Non-Violent,Property,Theft Under $5000,111 ST/SOUTHGATE TC,15714,2025/03/07,-12636599.8889,7073488.0574
Disorder,General Disorder,Trespassing,157 ST/STONY PLAIN RD,15715,2025/03/07,-12645012.7897,7083757.0554
Non-Violent,Property,Theft Under $5000,17 ST/17 ST,15716,2025/03/07,-12620137.6654,7072474.5117
Non-Violent,Property,Possession Stolen Property,STONY PLAIN RD/154 ST,15717,2025/03/07,-12644427.6059,7083756.1271
Disorder,General Disorder,Trespassing,69A ST/97 AV,15718,2025/03/07,-12627671.8959,7082851.9998
Non-Violent,Property,Fraud General,13 AV SW/158 ST SW,15719,2025/03/07,-12645098.153,7061430.0707
Non-Violent,Property,Theft Under $5000,115 ST/105 AV,15720,2025/03/07,-12636931.1966,7085062.5734
Non-Violent,Property,Break and Enter Residential,89 ST/95 AV,15721,2025/03/08,-12630741.3853,7081970.0669
Non-Violent,Property,Theft Under $5000,50A ST/HABITAT CR,15722,2025/03/07,-12625669.0754,7093543.5513
Disorder,Mischief/Graffiti,Mischief - Property,165 ST/99A AV,15723,2025/03/07,-12646554.1725,7083214.1562
