Occurrence_Category,Occurrence_Group,Occurrence_Type_Group,Intersection,OBJECTID,Date Reported,x,y
Non-Violent,Property,Fraud - Financial,48 AV/CALGARY TR,54949,2025/03/07,-12634194.1239,7073320.7994
Disorder,Mischief/Graffiti,Mischief - Property,102 AV/114 ST,54950,2025/03/07,-12636726.4964,7084079.5129
Non-Violent,Property,Break and Enter Residential,63 ST/131 AV,54951,2025/03/07,-12627881.3817,7092990.5683
Violent,Personal Violence,Assault,114 ST/NOT NAMED RD,54952,2025/03/06,-12637601.2875,7079919.9769
Non-Violent,Property,Theft Under $5000,NOT NAMED RD/NOT NAMED RD,54953,2025/03/06,-12637491.771,7081270.0925
Non-Violent,Property,Break and Enter Commercial,89 ST/93 AV,54954,2025/03/07,-12630740.1481,7081566.7117
Non-Violent,Property,Theft of Motor Vehicle,ORCHARDS BV SW/ORCHARDS GR SW,54955,2025/03/07,-12630812.7174,7058149.387
Disorder,Mischief/Graffiti,Mischief - Property,107 ST/80 AV,54956,2025/03/06,-12635465.5431,7079047.0723
Disorder,General Disorder,Trouble with Person,105 AV/105 AV,54957,2025/03/07,-12630324.6584,7085002.7034
Non-Violent,Property,Fraud - Financial,23 AV/23 AV,54958,2025/03/07,-12632504.477,7067238.8046
Non-Violent,Property,Theft Under $5000,100 ST/70 AV,54959,2025/03/07,-12633506.9952,7077271.7732
Non-Violent,Property,Theft Over $5000,SASKATCHEWAN DR/SASKATCHEWAN DR,54960,2025/03/07,-12633986.5544,7080575.8442
Non-Violent,Property,Theft Under $5000,AIRPORT RD/KINGSWAY ,54961,2025/03/07,-12636950.3814,7088310.2447
Non-Violent,Property,Theft Under $5000,50A ST/HABITAT CR,54962,2025/03/07,-12625669.0754,7093543.5513
Violent,Personal Violence,Robbery Commercial,19 AV/19 AV,54963,2025/03/07,-12633595.182,7066077.8815
Non-Violent,Property,Fraud Personal,135 ST/135 ST,54964,2025/03/07,-12640619.2472,7097322.0271
Disorder,General Disorder,Suspicious Person,114 ST/41 AV,54965,2025/03/07,-12637593.257,7071770.7979
Non-Violent,Property,Break and Enter Residential,109 AV/135 ST,54966,2025/03/07,-12640942.5546,7086210.4284
Violent,Personal Violence,Assault,50 ST/MANNING DR,54967,2025/03/06,-12625391.0284,7095024.6917
Disorder,General Disorder,Trespassing,27 AV/SADDLEBACK RD,54968,2025/03/07,-12638096.5826,7068463.4543
Non-Violent,Property,Theft Over $5000,106 ST/45 AV,54969,2025/03/07,-12635255.4661,7072864.1713
Non-Violent,Provincial Statute Violations,Public Health Act,100 ST/106 AV,54970,2025/03/06,-12633861.7194,7085368.8038
Non-Violent,Property,Theft Under $5000,111 ST/111 ST,54971,2025/03/07,-12636597.136,7073730.6847
Disorder,General Disorder,Trespassing,KINGSWAY /KINGSWAY ,54972,2025/03/07,-12634696.9979,7086642.5976
Disorder,Provincial Statute Violations,Intoxicated Person,116 AV/70 ST,54973,2025/03/07,-12629069.2551,7088927.5369
Non-Violent,Property,Theft Under $5000,28 AV/55 ST,54974,2025/02/21,-12626464.1135,7068396.634
Non-Violent,Property,Theft Under $5000,139 AV/40 ST,54975,2025/02/20,-12624098.5107,7094767.5814
Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Impaired Driving,68 AV/75 ST,54976,2025/02/21,-12628373.1668,7076647.5566
Non-Violent,Property,Theft Under $5000,112 ST/75 AV,54977,2025/02/21,-12636982.5993,7078143.6956
Violent,Personal Violence,Assault,123 AV/125 ST,54978,2025/02/21,-12638964.0273,7090590.9344
Non-Violent,Property,Theft Under $5000,111 ST/111 ST,54979,2025/02/20,-12636597.136,7073730.6847
Non-Violent,Property,Theft Under $5000,123A ST/138 AV,54980,2025/02/21,-12638651.2484,7094849.6181
Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Impaired Driving,100 AV/179A ST,54981,2025/02/20,-12649339.6068,7083100.4476
Non-Violent,Property,Theft of Motor Vehicle,178 ST/89 AV,54982,2025/02/21,-12649246.1599,7080473.0577
Disorder,General Disorder,Trouble with Person,163 ST/163 ST,54983,2025/02/20,-12646225.108,7080555.8257
Disorder,Mischief/Graffiti,Mischief - Property,105A AV/MAYFIELD RD,54984,2025/02/21,-12646926.6972,7085413.6225
Violent,Personal Violence,Robbery Personal,102 AV/100 ST,54985,2025/02/21,-12633727.6426,7084144.3653
Non-Violent,Property,Theft Under $5000,66 ST/66 ST,54986,2025/02/20,-12627969.1947,7071142.1412
Non-Violent,Property,Theft Under $5000,111 ST/111 ST,54987,2025/02/21,-12636597.136,7073730.6847
Violent,Sexual Violations,Indecent Act,107 AV/107 ST,54988,2025/02/21,-12635291.6914,7085652.6579
Non-Violent,Property,Theft of Motor Vehicle,97 ST/YELLOWHEAD TR,54989,2025/02/21,-12633900.9304,7091063.1442
Non-Violent,Property,Break and Enter Residential,85 ST/90 AV,54990,2025/02/19,-12629999.7419,7080825.5335
Non-Violent,Property,Break and Enter Residential,111 ST/77 AV,54991,2025/02/21,-12636612.392,7078498.5919
Non-Violent,Property,Fire Arson,128 AV/66 ST,54992,2025/02/21,-12628408.3825,7092152.4868
Non-Violent,Property,Theft Under $5000,110 ST/89 AV,54993,2025/02/21,-12636432.5487,7080667.2707
Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Impaired Driving,CHAPPELLE DR SW/CLAXTON LP SW,54994,2025/02/21,-12643251.5672,7057425.0209
Non-Violent,Property,Theft Under $5000,17 ST/17 ST,54995,2025/02/21,-12620137.6654,7072474.5117
Violent,Personal Violence,Assault,82 ST/YELLOWHEAD TR,54996,2025/02/21,-12631125.8229,7091463.58429999
Non-Violent,Property,Theft of Motor Vehicle,175 ST/102 AV,54997,2025/02/21,-12648432.9835,7084133.3623
Non-Violent,Property,Fraud General,135 AV/43 ST,54998,2025/02/20,-12624505.4928,7094030.5356
Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Impaired Driving,107 AV/124 ST,54999,2025/02/21,-12638756.6912,7085568.1686
Non-Violent,Property,Theft Under $5000,75 AV/171 ST,55000,2025/02/21,-12647808.3944,7077308.2063
Disorder,General Disorder,Trespassing,178 ST/89 AV,55001,2025/02/21,-12649246.1599,7080473.0577
Non-Violent,Property,Theft Under $5000,ROYAL ALEXANDRA HOSPITAL TC/ROYAL ALEXANDRA HOSPIT,55002,2025/02/22,-12634996.5573,7086998.0969
Non-Violent,Property,Theft Under $5000,112 AV/GROAT RD,55003,2025/02/21,-12640463.7256,7087353.6676
Disorder,Disputes/Disturbances,Dispute,JACKSON RD/JELLETT WY,55004,2025/02/21,-12623778.6162,7073242.1673
Disorder,General Disorder,Trouble with Person,97 ST/NORTHGATE MALL RD,55005,2025/02/20,-12633855.6896,7094389.1051
Non-Violent,Property,Theft Under $5000,51 AV/GATEWAY BV,55006,2025/02/20,-12633870.268,7073804.1098
Non-Violent,Property,Theft Under $5000,111 AV/112 AV,55007,2025/02/21,-12632496.0228,7087464.6021
Non-Violent,Property,Theft of Motor Vehicle,15 AV/35 ST,55008,2025/02/20,-12623080.7671,7065311.7929
Non-Violent,Abandoned/Recovered/Seized Vehicles,Recovered Motor Vehicle,42 AV/42 AV,55009,2025/02/21,-12635001.198,7072058.4637
Non-Violent,Property,Theft Under $5000,101 ST/BELLAMY HL,55010,2025/02/21,-12634064.0062,7083434.2941
Disorder,Mischief/Graffiti,Mischief - Property,101 ST/170 AV,55011,2025/02/21,-12634560.7935,7100742.9084
Non-Violent,Property,Theft of Motor Vehicle,131 AV/32A ST,55012,2025/02/22,-12622632.1858,7093138.4621
Non-Violent,Property,Theft Under $5000,CALGARY TR/CALGARY TR,55013,2025/02/21,-12632812.9771,7064268.0054
Non-Violent,Property,Theft Under $5000,123A ST/138 AV,55014,2025/02/22,-12638651.2484,7094849.6181
Disorder,Provincial Statute Violations,Intoxicated Person,111 AV/110 ST,55015,2025/02/21,-12635901.9559,7087057.5047
Disorder,General Disorder,Trouble with Person,118 AV/55 ST,55016,2025/02/22,-12626537.4891,7089203.9729
Disorder,Mischief/Graffiti,Mischief - Property,WEST OAK BA/WEST OAK CL,55017,2025/02/20,-12657035.0824,7085741.7408
Disorder,Disputes/Disturbances,Dispute,68 ST/68 ST,55018,2025/02/21,-12627673.9423,7066769.0375
Disorder,Mischief/Graffiti,Mischief - Property,20 AV/28 ST,55019,2025/02/22,-12621736.6731,7066728.8617
Non-Violent,Property,Theft Under $5000,125 ST/WADHURST RD,55020,2025/02/21,-12638925.983,7084565.3006
Disorder,General Disorder,Trouble with Person,124 AV/149 ST,55021,2025/02/22,-12643443.3402,7090823.044
Violent,Personal Violence,Assault,KINGSWAY /KINGSWAY ,55022,2025/02/22,-12634696.9979,7086642.5976
Non-Violent,Property,Theft Under $5000,107 AV/163 ST,55023,2025/03/08,-12646205.4876,7085634.1978
Non-Violent,Property,Theft Under $5000,137 AV/42 ST,55024,2025/03/09,-12624378.4956,7094314.4636
Non-Violent,Property,Theft Under $5000,50A ST/HABITAT CR,55025,2025/03/09,-12625669.0754,7093543.5513
Disorder,General Disorder,Trespassing,85 ST/93 AV,55026,2025/03/09,-12630003.6279,7081216.6108
Disorder,Mischief/Graffiti,Mischief - Property,82 AV/98 ST,55027,2025/03/08,-12632847.4553,7079403.9879
Disorder,Disputes/Disturbances,Dispute,131 AV/83 ST,55028,2025/03/09,-12631321.2595,7092983.1278
Non-Violent,Property,Theft Under $5000,175 ST/STONY PLAIN RD,55029,2025/03/09,-12648183.4143,7083771.2949
Disorder,Provincial Statute Violations,Intoxicated Person,85 AV/91 ST,55030,2025/03/09,-12631137.1794,7079954.724
Non-Violent,Property,Theft of Motor Vehicle,80 ST/112 AV,55031,2025/03/09,-12630756.8063,7087491.4302
Non-Violent,Property,Theft Under $5000,48 AV/CALGARY TR,55032,2025/03/09,-12634194.1239,7073320.7994
Violent,Personal Violence,Robbery Commercial,97 AV/231 ST,55033,2025/03/09,-12658533.2064,7082959.9511
Violent,Personal Violence,Assault,105 ST/134A AV,55034,2025/03/09,-12634894.7907,7094029.67
Non-Violent,Property,Internet Fraud,179 ST/63 AV,55035,2025/03/09,-12649348.9402,7075671.9403
Non-Violent,Property,Break and Enter Residential,110 ST/86 AV,55036,2025/03/07,-12636431.9775,7080133.1255
Disorder,Mischief/Graffiti,Mischief - Property,100 ST/102 AV,55037,2025/03/10,-12633727.6426,7084144.3653
Violent,Personal Violence,Assault,105 ST/106 AV,55038,2025/03/09,-12634870.2398,7085354.5672
Violent,Personal Violence,Robbery Personal,KINGSWAY /KINGSWAY ,55039,2025/03/09,-12634696.9979,7086642.5976
Violent,Personal Violence,Assault,MEADOWS TC/MEADOWS TC,55040,2025/03/09,-12620076.223,7071904.8414
Non-Violent,Property,Break and Enter Residential,53 AV/53 AV,55041,2025/03/09,-12636427.2564,7074253.7838
Non-Violent,Property,Theft Under $5000,TREDGER CT/TREDGER CT,55042,2025/03/09,-12642162.5123,7065449.7293
Non-Violent,Property,Theft Under $5000,NOT NAMED RD/NOT NAMED RD,55043,2025/03/09,-12650746.2872,7083588.3627
Disorder,Mischief/Graffiti,Mischief - Property,151 ST/151 ST,55044,2025/03/10,-12643542.4399,7073531.4027
Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Criminal Flight Event,118 AV/127 ST,55045,2025/03/10,-12639345.4909,7089197.0536
Drugs,Drug Violations,Drugs,16A AV/MILL WOODS RD,55046,2025/03/09,-12623887.6074,7065711.8258
Non-Violent,Property,Theft of Motor Vehicle,180 ST/77 AV,55047,2025/03/10,-12649608.7776,7077943.4611
Non-Violent,Property,Break and Enter Commercial,21 ST/121 AV,55048,2025/03/10,-12614109.3081,7090021.2391
Non-Violent,Property,Break and Enter Residential,DAVIDSON WN SW/DESROCHERS DR SW,55049,2025/03/09,-12640616.597,7057206.3492
Disorder,General Disorder,Suspicious Person,85 AV/89 ST,55050,2025/03/09,-12630742.5695,7079955.5313
Disorder,Mischief/Graffiti,Mischief - Property,178 ST/89 AV,55051,2025/03/09,-12649246.1599,7080473.0577
Violent,Personal Violence,Robbery Personal,73 ST/79 AV,55052,2025/03/09,-12628067.0446,7078861.1747
Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Impaired Driving,FORT RD/129 AV,55053,2025/03/09,-12627785.5144,7092441.9627
Disorder,Mischief/Graffiti,Mischief - Property,99 AV/110 ST,55054,2025/03/10,-12635905.4767,7082998.894
Non-Violent,Counterfeiting/Gaming and Betting,Counterfeit Money,47 ST/94 AV,55055,2025/03/10,-12624521.6541,7082033.7977
Non-Violent,Property,Theft Under $5000,107 ST/GOVERNMENT CENTRE TC,55056,2025/03/10,-12635263.988,7082904.1851
Non-Violent,Property,Theft Under $5000,110B ST/RUNNING CREEK RD,55057,2025/03/10,-12636494.2763,7065294.5983
Non-Violent,Property,Break and Enter Commercial,107 AV/170 ST,55058,2025/03/10,-12647544.2247,7085988.2996
Non-Violent,Property,Theft Under $5000,102 ST/137 AV,55059,2025/03/09,-12634240.362,7094681.0376
Non-Violent,Property,Fraud General,GRANVILLE DR/GUARDIAN RD,55060,2025/03/09,-12654490.6116,7077932.1663
Non-Violent,Property,Theft Under $5000,WATT BV SW/WATT CM SW,55061,2025/03/09,-12626268.2359,7061339.6355
Violent,Personal Violence,Robbery Commercial,50 ST/NOT NAMED RD,55062,2025/03/09,-12625667.01,7075891.9317
Non-Violent,Property,Theft Under $5000,99 ST/PARSONS RD,55063,2025/03/13,-12632794.3487,7065261.03
Violent,Personal Violence,Assault,87 AV/87 AV,55064,2025/03/14,-12647497.7794,7079700.6859
Non-Violent,Property,Theft Under $5000,101 ST/21 AV,55065,2025/03/14,-12633396.4834,7066934.6697
Non-Violent,Property,Theft Under $5000,28 ST/CLAREVIEW RD,55066,2025/03/14,-12621917.9137,7092779.6612
Non-Violent,Property,Theft Under $5000,118 AV/82 ST,55067,2025/03/14,-12631123.1056,7089209.6512
Violent,Personal Violence,Assault,BELVEDERE TC/FORT RD,55068,2025/03/15,-12627612.9711,7092606.1724
Non-Violent,Property,Theft of Motor Vehicle,139 AV/139 AV,55069,2025/03/14,-12624733.9102,7095198.5878
Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Criminal Flight Event,153 AV/ANTHONY HENDAY DR,55070,2025/03/15,-12618666.8013,7098076.6181
Non-Violent,Property,Theft of Motor Vehicle,107 AV/151 ST,55071,2025/03/14,-12643845.0343,7085585.4794
Non-Violent,Property,Break and Enter Commercial,50 ST/94B AV,55072,2025/03/14,-12625646.9418,7082381.2004
Non-Violent,Property,Theft of Motor Vehicle,109A AV/177 ST,55073,2025/03/14,-12648785.9074,7086641.7528
Non-Violent,Property,Theft Under $5000,137 AV/93 ST,55074,2025/03/14,-12633073.151,7094622.7427
Disorder,General Disorder,Suspicious Vehicle,217 ST/217 ST,55075,2025/03/15,-12655933.9678,7078961.2838
Disorder,Mischief/Graffiti,Mischief - Property,168 ST/88 AV,55076,2025/03/14,-12647287.4654,7080475.7893
Non-Violent,Property,Fraud - Financial,114 AV/WESTMOUNT SHOPPING CENTRE RD,55077,2025/03/14,-12640716.8938,7087948.6475
Weapons,Weapons Violations,Weapons Complaint Firearm,101 ST/113 AV,55078,2025/03/15,-12634062.6105,7087769.5925
Non-Violent,Abandoned/Recovered/Seized Vehicles,Recovered Motor Vehicle,22A AV SW/22A AV SW,55079,2025/03/15,-12627052.1323,7059822.5906
Non-Violent,Property,Theft Under $5000,EAUX CLAIRES TC/EAUX CLAIRES TC,55080,2025/03/15,-12633776.0644,7098177.088
Disorder,Mischief/Graffiti,Mischief - Property,100 AV/105 ST,55081,2025/03/15,-12634882.3213,7083296.6473
Non-Violent,Property,Theft Under $5000,AIRPORT RD/KINGSWAY ,55082,2025/03/12,-12636950.3814,7088310.2447
Non-Violent,Property,Theft Under $5000,26 AV SW/119A ST SW,55083,2025/03/12,-12638858.4998,7059057.4896
Disorder,Mischief/Graffiti,Mischief - Property,38 ST/KINISKI CR,55084,2025/03/12,-12623781.2222,7072724.9451
Disorder,Mischief/Graffiti,Mischief - Property,149 AV/53 ST,55085,2025/03/12,-12626113.4059,7097067.9702
Non-Violent,Property,Fraud - Financial,102 AV/115 ST,55086,2025/03/12,-12636927.2749,7084081.0335
Non-Violent,Property,Theft of Motor Vehicle,135 AV/140 ST,55087,2025/03/12,-12641654.4578,7093917.7658
Violent,Personal Violence,Assault,79 AV/79 AV,55088,2025/03/12,-12634389.8526,7078870.581
Non-Violent,Property,Fraud General,38 AV/76 ST,55089,2025/03/12,-12629222.2903,7071080.6959
Non-Violent,Property,Theft Under $5000,137 AV/132 ST,55090,2025/03/12,-12640202.8711,7094620.121
Non-Violent,Property,Theft Over $5000,102 AV/104 ST,55091,2025/03/12,-12635802.8901,7084079.9169
Weapons,Weapons Violations,Weapons Complaint Firearm,127 AV/67 ST,55092,2025/03/12,-12628586.937,7091954.0892
Disorder,Disputes/Disturbances,Disturbance,87 AV/169 ST,55093,2025/03/12,-12647096.024,7079688.3597
Disorder,Mischief/Graffiti,Mischief - Property,111 ST/82 AV,55094,2025/03/12,-12636746.1587,7079415.0653
Non-Violent,Property,Fraud - Financial,109 ST/21 AV,55095,2025/03/12,-12635763.2066,7067175.2661
Disorder,Mischief/Graffiti,Mischief - Property,99 ST/JASPER AV,55096,2025/03/12,-12633491.2454,7083751.7926
Disorder,Mischief/Graffiti,Graffiti,102 ST/JASPER AV,55097,2025/03/12,-12634269.2264,7083689.0485
Non-Violent,Property,Break and Enter Residential,128 AV/96 ST,55098,2025/03/12,-12633697.9718,7092129.0744
Non-Violent,Property,Theft of Motor Vehicle,106 ST/107 AV,55099,2025/03/13,-12635086.6039,7085652.5205
Non-Violent,Property,Theft Over $5000,63 ST/63 ST,55100,2025/03/12,-12627489.4481,7102117.9766
Non-Violent,Property,Theft Under $5000,AIRPORT RD/KINGSWAY ,55101,2025/03/12,-12636950.3814,7088310.2447
Non-Violent,Property,Theft Under $5000,127 AV/127 ST,55102,2025/03/12,-12639346.3155,7091942.6288
Non-Violent,Property,Possession Stolen Property,119 AV/34 ST,55103,2025/03/12,-12622929.8171,7089495.3652
Non-Violent,Property,Theft Under $5000,WINDERMERE BV/WINDERMERE BV,55104,2025/03/12,-12647177.8392,7064153.6509
Disorder,General Disorder,Trespassing,154 ST/STONY PLAIN RD,55105,2025/03/12,-12644427.6059,7083756.1271
Non-Violent,Property,Fraud General,GIBB WN/GLASTONBURY BV,55106,2025/03/11,-12653531.0828,7075184.2014
Non-Violent,Property,Theft Under $5000,137 AV/LONDONDERRY MALL RD,55107,2025/03/12,-12628959.9633,7094719.8694
Non-Violent,Property,Fraud - Financial,178 ST/89 AV,55108,2025/03/12,-12649246.1599,7080473.0577
Disorder,Disputes/Disturbances,Disturbance,23 AV/50 ST,55109,2025/03/13,-12625939.0935,7067563.8955
Disorder,Provincial Statute Violations,Intoxicated Person,55 ST/145 AV,55110,2025/03/12,-12626479.7788,7096347.8387
Disorder,General Disorder,Trouble with Person,PARK RIDGE CR/PARK RIDGE CR,55111,2025/03/12,-12619874.2033,7076070.0389
Non-Violent,Property,Theft Under $5000,141 AV/51 ST,55112,2025/03/13,-12625942.0276,7095640.7274
Violent,Personal Violence,Assault,100 ST/MCDOUGALL HL,55113,2025/03/13,-12633645.7611,7083438.4336
Violent,Personal Violence,Assault,109 AV/115 ST,55114,2025/03/13,-12636929.7909,7086247.4198
Disorder,General Disorder,Trespassing,WILD ROSE WY/WYMAN LN,55115,2025/03/13,-12620803.9829,7071492.9343
Drugs,Drug Violations,Drugs,178 ST/114 AV,55116,2025/03/13,-12648934.7597,7087863.1339
Weapons,Weapons Violations,Weapons Complaint,138 AV/138 AV,55117,2025/03/11,-12622770.3737,7094822.9549
Violent,Personal Violence,Assault,104 AV/104 AV,55118,2025/03/13,-12637020.1298,7084680.3148
Disorder,Mischief/Graffiti,Mischief - Property,121 ST/JASPER AV,55119,2025/03/13,-12638194.3828,7083691.3971
Disorder,Disputes/Disturbances,Dispute,100A AV/179A ST,55120,2025/03/13,-12649339.4894,7083397.1092
Non-Violent,Abandoned/Recovered/Seized Vehicles,Recovered Motor Vehicle,119 AV/ABBOTTSFIELD RD,55121,2025/03/13,-12622346.004,7089600.4408
Non-Violent,Property,Break and Enter Residential,110 ST/21 AV,55122,2025/03/15,-12636216.9293,7067180.663
Disorder,General Disorder,Trouble with Person,109 ST/85 AV,55123,2025/03/16,-12636103.341,7079954.3757
Non-Violent,Property,Theft Under $5000,129 AV/65 ST,55124,2025/03/15,-12628229.2651,7092443.057
Violent,Personal Violence,Assault,122 AV/82 ST,55125,2025/03/16,-12631123.4521,7090397.2922
Disorder,Mischief/Graffiti,Mischief - Property,AIRPORT RD/119 ST,55126,2025/03/16,-12637709.9606,7088852.8279
Non-Violent,Property,Break and Enter Residential,60 ST SW/WATT BV SW,55127,2025/03/16,-12627324.4584,7061051.9819
Disorder,General Disorder,Trouble with Person,KANE WN/KANE WN,55128,2025/03/16,-12623034.9334,7070848.9169
Disorder,General Disorder,Trouble with Person,WAYNE GRETZKY DR/WAYNE GRETZKY DR,55129,2025/03/15,-12628675.007,7087743.9461
Non-Violent,Property,Theft Under $5000,127 ST/RAPPERSWILL DR,55130,2025/03/15,-12639393.3249,7100807.9705
Non-Violent,Property,Break and Enter Residential,116 AV/123 ST,55131,2025/03/16,-12638564.2413,7088544.6586
Non-Violent,Property,Theft of Motor Vehicle,164 AV/164 AV,55132,2025/03/16,-12625117.7606,7099643.6443
Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Impaired Driving,MERIDIAN ST/MERIDIAN ST,55133,2025/03/16,-12617425.2053,7073585.3567
Non-Violent,Property,Theft Under $5000,AIRPORT RD/KINGSWAY ,55134,2025/03/16,-12636950.3814,7088310.2447
Non-Violent,Property,Theft Under $5000,50A ST/HABITAT CR,55135,2025/03/16,-12625669.0754,7093543.5513
Non-Violent,Property,Theft Under $5000,111 AV/GROAT RD,55136,2025/03/16,-12640559.4848,7087066.9332
Non-Violent,Property,Theft Over $5000,27 AV/PARSONS RD,55137,2025/03/15,-12632517.2126,7067918.4915
Non-Violent,Property,Break and Enter Commercial,137 AV/42 ST,55138,2025/03/16,-12624378.4956,7094314.4636
Non-Violent,Property,Theft Under $5000,112 ST/113 ST,55139,2025/03/15,-12637321.2415,7078587.1895
Non-Violent,Property,Fraud - Financial,105 ST/82 AV,55140,2025/03/08,-12634813.7965,7079409.5831
Non-Violent,Property,Theft Under $5000,111 ST/82 AV,55141,2025/03/10,-12636746.1587,7079415.0653
Violent,Personal Violence,Robbery Personal,121 ST/129 AV,55142,2025/03/10,-12638147.0593,7092435.8578
Disorder,Mischief/Graffiti,Mischief - Property,105 ST/106 AV,55143,2025/03/10,-12634894.7797,7085354.2765
Disorder,Disputes/Disturbances,Dispute,BEAUMARIS RD/STIRLING RD,55144,2025/03/10,-12635231.0741,7098519.3638
Non-Violent,Property,Internet Fraud,214 ST/214 ST,55145,2025/03/10,-12655632.6873,7073418.2906
Non-Violent,Property,Possession Stolen Property,112 AV/124 ST,55146,2025/03/10,-12638761.8225,7087354.0276
Non-Violent,Property,Break and Enter Commercial,107 AV/110 ST,55147,2025/03/10,-12635905.8261,7085653.877
Non-Violent,Property,Break and Enter Residential,104 ST/99 AV,55148,2025/03/10,-12634678.9147,7082999.2749
Non-Violent,Property,Theft Under $5000,3 AV SW/4 AV SW,55149,2025/03/10,-12626368.3453,7062655.0316
Non-Violent,Property,Theft Under $5000,114 AV/WESTMOUNT SHOPPING CENTRE RD,55150,2025/03/10,-12640716.8938,7087948.6475
Non-Violent,Property,Theft Under $5000,AIRPORT RD/KINGSWAY ,55151,2025/03/10,-12636950.3814,7088310.2447
Violent,Personal Violence,Robbery Personal,139 AV/26 ST,55152,2025/03/10,-12621664.0978,7095675.0728
Violent,Personal Violence,Assault,114 ST/NOT NAMED RD,55153,2025/03/10,-12637601.2875,7079919.9769
Non-Violent,Property,Break and Enter Residential,116 AV/ST ALBERT TR,55154,2025/03/10,-12639944.5409,7088547.9517
Disorder,Mischief/Graffiti,Mischief - Property,118 AV/94 ST,55155,2025/03/10,-12633177.5289,7089209.1879
Violent,Personal Violence,Assault,132 AV/FORT RD,55156,2025/03/09,-12627042.2004,7093281.6031
Non-Violent,Property,Break and Enter Residential,109 AV/31 ST,55157,2025/03/10,-12622238.5145,7087792.3164
Non-Violent,Property,Theft Under $5000,123A ST/137 AV,55158,2025/03/10,-12638651.3676,7094666.3579
Non-Violent,Property,Break and Enter Residential,113 ST/76 AV,55159,2025/03/10,-12637319.8333,7078317.6449
Violent,Personal Violence,Assault,105 ST/56 AV,55160,2025/03/09,-12634799.8262,7074760.9407
Disorder,Disputes/Disturbances,Dispute,107 ST/72 AV,55161,2025/03/10,-12635465.2412,7077611.2847
Non-Violent,Property,Theft Under $5000,AD ASTRA BV/MORGAN RD,55162,2025/03/10,-12636364.9289,7096068.61289999
Violent,Personal Violence,Assault,103A ST SW/103A ST SW,55163,2025/03/10,-12634290.431,7060974.8927
Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Impaired Driving,JASPER AV/JASPER AV,55164,2025/03/10,-12631793.9388,7085630.4226
Violent,Personal Violence,Assault,105 AV/98 ST,55165,2025/03/11,-12633583.3237,7085120.0674
Non-Violent,Property,Theft Under $5000,28 AV/YOUVILLE DR,55166,2025/03/11,-12626469.9686,7068443.8341
Non-Violent,Property,Theft Under $5000,114 AV/WESTMOUNT SHOPPING CENTRE RD,55167,2025/03/10,-12640716.8938,7087948.6475
Non-Violent,Property,Theft Under $5000,135A AV/125 ST,55168,2025/03/11,-12638991.1505,7094288.4829
Non-Violent,Property,Fraud - Financial,102 AV/115 ST,55169,2025/03/10,-12636927.2749,7084081.0335
Non-Violent,Property,Theft Under $5000,215 ST/LAKEVIEW DR,55170,2025/03/11,-12655964.7096,7085482.3451
Non-Violent,Property,Internet Fraud,140 AV/164 ST,55171,2025/03/11,-12646355.1337,7095050.6791
Non-Violent,Property,Break and Enter Residential,120 ST/89 AV,55172,2025/03/10,-12639111.4008,7080666.0636
Disorder,Mischief/Graffiti,Mischief - Property,106 ST/106 ST,55173,2025/03/10,-12635142.2406,7088126.1662
Non-Violent,Property,Fraud - Financial,WATT CM SW/WATT CM SW,55174,2025/03/10,-12625887.6654,7061294.4309
Disorder,General Disorder,Suspicious Person,130 ST/115 AV,55175,2025/03/11,-12639720.9625,7088244.6094
Non-Violent,Property,Theft Under $5000,100 AV/107 ST,55176,2025/03/11,-12635292.3297,7083297.1191
Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Impaired Driving,WINDERMERE BV/WINDERMERE BV,55177,2025/03/11,-12647177.8392,7064153.6509
Non-Violent,Property,Fraud Personal,119 ST/173A AV,55178,2025/03/11,-12637901.4155,7101452.4595
Violent,Personal Violence,Robbery Commercial,97 AV/231 ST,55179,2025/03/10,-12658533.2064,7082959.9511
Non-Violent,Property,Theft Under $5000,105 ST/JASPER AV,55180,2025/03/11,-12634881.2424,7083690.8583
Violent,Personal Violence,Assault,101 ST/JASPER AV,55181,2025/03/10,-12634064.0686,7083690.2726
Disorder,Mischief/Graffiti,Mischief - Property,97 ST/JASPER AV,55182,2025/03/06,-12632912.6322,7084063.9533
Non-Violent,Property,Internet Fraud,118 AV/125 ST,55183,2025/03/06,-12638959.194,7089195.6635
Non-Violent,Property,Fraud General,111 AV/163 ST,55184,2025/03/06,-12646263.7254,7087093.756
Non-Violent,Property,Theft Under $5000,122 ST/172 AV,55185,2025/03/06,-12638485.3005,7101146.8983
Drugs,Drug Violations,Drugs,118 AV/86 ST,55186,2025/03/05,-12631717.1974,7089209.3344
Non-Violent,Property,Fraud - Financial,111 AV/112 AV,55187,2025/03/05,-12632496.0228,7087464.6021
